Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part #, Digikey Part #, NOTE:
"P1","Power","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08",""
"P2","Analog","Socket_Arduino_Uno:Socket_Strip_Arduino_1x06",""
"P4","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08",""
"P3","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x10",""
"OA1","LT6200-10","TO_SOT_Packages_SMD:SOT-23-6","http://www.analog.com/media/en/technical-documentation/data-sheets/62001ff.pdf","Linear Technology/Analog Devices","LT6200CS6-10#TRMPBF","LT6200CS6-10#TRMPBFCT-ND","1.6GHz GBWP - 12V Max"
"C14","2.2 uF","Ben_Custom:0508_Capacitor","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TWK212B7225MD-T&fileName=TWK212B7225MD-T_SS&mode=specSheetDownload","Taiyo Yuden","TWK212B7225MD-T","587-5165-1-ND","Lower GHz impedance than pair of 0402 caps in SPICE"
"C16","2200 pF","Capacitors_SMD:C_0603","https://psearch.en.murata.com/capacitor/product/GCM188R71H222KA37%23.pdf","Murata Electronics North America","GCM188R71H222KA37D","490-4931-1-ND","50V ±10% "
"Q1","Q_NMOS_GDS","Ben_Custom:IRFH5104_PQFN_5x6b","https://www.infineon.com/dgdl/irfh5104pbf.pdf?fileId=5546d462533600a40153561add341ea4","Infineon Technologies","IRFH5104TR2PBF","IRFH5104TR2PBFCT-ND","40V 100A 114W max - can be replaced with IRFH5006TRPBFCT-ND"
"C20","22 uF","Ben_Custom:2_J-lead_stacked_cap","http://psearch.en.murata.com/capacitor/product/KCM55WR71J226MH01%23.pdf","Murata Electronics North America","KCM55WR71J226MH01K","490-5839-1-ND","63V reverse geometry"
"C18","22 uF","Ben_Custom:2_J-lead_stacked_cap","http://psearch.en.murata.com/capacitor/product/KCM55WR71J226MH01%23.pdf","Murata Electronics North America","KCM55WR71J226MH01K","490-5839-1-ND","63V reverse geometry"
"FL1","4.7uH","Ben_Custom:Wurth_Coupled_Inductor","http://katalog.we-online.de/pbs/datasheet/74489440047.pdf","Wurth Electronics Inc.","74489440047","732-2603-1-ND"," "
"Reg1","LT8330","TO_SOT_Packages_SMD:SOT-23-6","http://www.analog.com/media/en/technical-documentation/data-sheets/8330fa.pdf?domain=www.linear.com","Linear Technology/Analog Devices","LT8330IS6#TRMPBF","LT8330IS6#TRMPBFCT-ND"," "
"C5","1 uF","Capacitors_SMD:C_0805","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=HMK212BC7105KG-TE&fileName=HMK212BC7105KG-TE_SS&mode=specSheetDownload","Taiyo Yuden","HMK212BC7105KG-TE","587-5018-1-ND","Low ESL (same as 0603) - 100V"
"D1","D_Schottky","Diodes_SMD:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/PMEG6010CEH_PMEG6010CEJ.pdf","Nexperia USA Inc.","PMEG6010CEJ,115","1727-3882-1-ND","Recommended"
"R5","1Meg","Resistors_SMD:R_0805","http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf","Yageo","RT0805FRE071ML","YAG3361CT-ND","50 ppm/oC  ±1%"
"R6","154k","Resistors_SMD:R_0603","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","Panasonic Electronic Components","ERJ-3EKF1543V","P154KHCT-ND","±1% ±100ppm/°C"
"C1","4.7 uF","Capacitors_SMD:C_0805","https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X5R1H475M125AB","TDK Corporation","C2012X5R1H475M125AB","445-5981-1-ND"," 50V max - low ESL"
"FL2","2.7uH","Ben_Custom:Wurth_Coupled_Inductor","http://katalog.we-online.de/pbs/datasheet/74489430027.pdf","Wurth Electronics Inc.","74489430027","732-2590-2-ND"," "
"Reg2","LT8330","TO_SOT_Packages_SMD:SOT-23-6","http://www.analog.com/media/en/technical-documentation/data-sheets/8330fa.pdf?domain=www.linear.com","Linear Technology/Analog Devices","LT8330IS6#TRMPBF","LT8330IS6#TRMPBFCT-ND"," "
"D2","D_Schottky","Diodes_SMD:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/PMEG6010CEH_PMEG6010CEJ.pdf","Nexperia USA Inc.","PMEG6010CEJ,115","1727-3882-1-ND","Recommended"
"R7","1Meg","Resistors_SMD:R_0805","http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf","Yageo","RT0805FRE071ML","YAG3361CT-ND","50 ppm/oC  ±1%"
"RV3","POT_TRIM","Ben_Custom:Potentiometer_Trimmer_Bourns_3224W","http://www.bourns.com/docs/Product-Datasheets/3224.pdf","Bourns Inc.","3224W-1-102E","3224W-1-102ECT-ND","1k Ohm ±100ppm/°C 12 turns"
"RV2","POT_TRIM","Ben_Custom:Potentiometer_Trimmer_Bourns_3224W","http://www.bourns.com/docs/Product-Datasheets/3224.pdf","Bourns Inc.","3224W-1-201E","3224W-1-201ECT-ND","200 Ohm  ±100ppm/°C 12 turns"
"RV1","POT_TRIM","Ben_Custom:Bourns_3313J_Trimpot-compact","http://www.bourns.com/docs/Product-Datasheets/3313.pdf","Bourns Inc.","3313J-1-502E","3313J-502ECT-ND","5k Ohm"
"J6","Heat_Sink","Ben_Custom:40x40mm-heatsink_only-eighth-pad","https://media.digikey.com/pdf/Data%20Sheets/Wakefield%20Thermal%20PDFs/910_Series_Pin.pdf","Wakefield-Vette","910-40-2-23-2-B-0","345-1161-ND","2.00°C/W @ 200 LFM"
"J4","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"J2","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"J3","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"R9","5","TO_SOT_Packages_SMD:TO-263-2","http://www.caddock.com/Online_catalog/Mrktg_Lit/MP725.pdf","Caddock Electronics Inc.","MP725-5.00-1%","MP725-5.00-FCT-ND","25W  -20/ +80ppm/°C"
"D4","D","Ben_Custom:Powerdi5060-8","https://www.diodes.com/assets/Datasheets/SBRT20U50SLP.pdf","Diodes Incorporated","SBRT20U50SLP-13","SBRT20U50SLP-13DICT-ND","500mV at 20A - 50V reverse"
"C17","2700 uF","Capacitors_THT:CP_Radial_D18.0mm_P7.50mm","http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=ky","United Chemi-Con","EKY-500ELL272MM40S","565-1624-ND","50V - 3.8A"
"C22","2700 uF","Capacitors_THT:CP_Radial_D18.0mm_P7.50mm","http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=ky","United Chemi-Con","EKY-500ELL272MM40S","565-1624-ND","50V - 3.8A"
"C21","2700 uF","Capacitors_THT:CP_Radial_D18.0mm_P7.50mm","http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=ky","United Chemi-Con","EKY-500ELL272MM40S","565-1624-ND","50V - 3.8A"
"C19","2700 uF","Capacitors_THT:CP_Radial_D18.0mm_P7.50mm","http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=ky","United Chemi-Con","EKY-500ELL272MM40S","565-1624-ND","50V - 3.8A"
"J8","TEST_1P","Wire_Pads:SolderWirePad_single_SMD_5x10mm",""
"J9","TEST_1P","Wire_Pads:SolderWirePad_single_SMD_5x10mm",""
"J10","TEST_1P","Wire_Pads:SolderWirePad_single_SMD_5x10mm","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0708250.pdf","Phoenix Contact","0708250","277-5906-ND","32A  12-24 AWG"
"J11","TEST_1P","Wire_Pads:SolderWirePad_single_SMD_5x10mm",""
"L4","Ferrite_Bead","Inductors_SMD:L_0603","http://katalog.we-online.de/pbs/datasheet/742863147.pdf","Wurth Electronics Inc.","742863147","732-2380-1-ND","320 mOhm - 500mA max"
"C6","1 uF","Capacitors_SMD:C_0805","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=HMK212BC7105KG-TE&fileName=HMK212BC7105KG-TE_SS&mode=specSheetDownload","Taiyo Yuden","HMK212BC7105KG-TE","587-5018-1-ND","Low ESL (same as 0603)  - 100V to absorb inductor flyback"
"L1","Ferrite_Bead","Inductors_SMD:L_0805","http://katalog.we-online.de/pbs/datasheet/742792097.pdf","Wurth Electronics Inc.","742792097","732-4649-1-ND","300 mOhm - 1A max"
"L3","Ferrite_Bead","Inductors_SMD:L_0603","http://katalog.we-online.de/pbs/datasheet/742863147.pdf","Wurth Electronics Inc.","742863147","732-2380-1-ND","320 mOhm - 500mA max"
"C8","4.7 pF","Capacitors_SMD:C_0603","https://product.tdk.com/info/en/documents/chara_sheet/C1608NP01H4R7C080AA.pdf","TDK Corporation","C1608NP01H4R7C080AA","445-14084-1-ND"," 0.3Ohm ESR - 80pH ESL"
"C7","4.7 pF","Capacitors_SMD:C_0603","https://product.tdk.com/info/en/documents/chara_sheet/C1608NP01H4R7C080AA.pdf","TDK Corporation","C1608NP01H4R7C080AA","445-14084-1-ND"," 0.3Ohm ESR - 80pH ESL"
"J12","Heat_Sink","Ben_Custom:Heatsink-10x10mm-V2017B","http://www.assmann-wsw.com/fileadmin/datasheets/ASS_0875_HS.pdf","Assmann WSW Components","V2017B","AE10837-ND","31.00°C/W @ Natural"
"J13","Heat_Sink","Ben_Custom:Heatsink-Wakefield_655-53AB_41x41mm","http://www.wakefield-vette.com/Portals/0/resources/datasheets/655.pdf","Wakefield-Vette","655-53AB","345-1093-ND","2.00°C/W @ 400 LFM"
"Reg3","ADP7182AUJZ-Fixed","TO_SOT_Packages_SMD:TSOT-23-5","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP7182.pdf","Analog Devices Inc.","ADP7182AUJZ-1.8-R7","ADP7182AUJZ-1.8-R7CT-ND","Dropout max: 90mV at 50mA, 360mV at 200mA"
"R1","187k","Capacitors_SMD:C_0805","http://www.susumu.co.jp/common/pdf/n_catalog_partition05_en.pdf","Susumu","RR1220P-1873-D-M","RR12P187KDCT-ND","25 ppm/oC ±0.5%"
"D5","D_Schottky","Ben_Custom:DO-214AC","http://www.comchiptech.com/cms/UserFiles/CDBA120SL-HF%20Thru295959.%20CDBA140SL-HF%20RevA.pdf","Comchip Technology","CDBA140SL-HF","641-1762-1-ND","330mV @ 1A"
"D6","D_Schottky","Ben_Custom:DO-214AC","http://www.comchiptech.com/cms/UserFiles/CDBA120SL-HF%20Thru295959.%20CDBA140SL-HF%20RevA.pdf","Comchip Technology","CDBA140SL-HF","641-1762-1-ND","330mV @ 1A"
"L2","Ferrite_Bead","Inductors_SMD:L_0805","http://katalog.we-online.de/pbs/datasheet/742792097.pdf","Wurth Electronics Inc.","742792097","732-4649-1-ND","300 mOhm - 1A max"
"C28","10 nF","Capacitors_SMD:C_0805","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/09/21/Data%20sheet_CL21B103KDCNNNC.pdf","Samsung Electro-Mechanics","CL21B103KDCNNNC","1276-1170-1-ND","250V - 50MOhm resistance"
"R2","4.7k","Resistors_SMD:R_0805","http://www.rohm.com/web/global/datasheet/ESR01MZPF/esr-e","Rohm Semiconductor","ESR10EZPJ472","RHM4.7KKCT-ND","0.4W - 200 ppm/oC - thick film"
